work_id,share_code,title,desc,cover_url,region,music_id,note_count,nickname,uid,like_cnt,save_cnt,game_like_cnt,publish_time,hot_score,quality_score,video_json
15072,9900235707901,七帷的暮雨,"《原神》第五张角色主题OST
「闪耀的群星4 The Stellar Moments Vol. 5」",https://act-upload.miyoushe.com/event-ugc-mys/2025/08/19/336090621/1f5e54d0d33fb01ff91fdea166affa2b_4803570267587045482.jpg,cn_gf01,71,395,蒲鞴,336090621,2,0,453,1755560575,14463.39,4.36,"{""media_id"":""131957592766958796800"",""duration"":78855,""resolutions"":[{""bitrate"":529529,""height"":480,""width"":1066,""size"":5219503,""md5"":""690765098d7ac0919e9f5fd13cb01f09"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-10-01/a28a5ad5vodtranssh1500016869/bcac50145145403695187948646/v.f1435007.mp4"",""video"":{""bitrate"":395596,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128077,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/bcac50145145403695187948646/v.f1435007.mp4""},{""bitrate"":1613382,""height"":720,""width"":1600,""size"":15902914,""md5"":""36c27b871485cc5953fac518c01532e1"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-10-01/a28a5ad5vodtranssh1500016869/bcac50145145403695187948646/v.f1435006.mp4"",""video"":{""bitrate"":1481686,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128077,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/bcac50145145403695187948646/v.f1435006.mp4""},{""bitrate"":2484879,""height"":1080,""width"":2400,""size"":24493150,""md5"":""23bde10c23e03aa573f9630c2c835492"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-10-01/a28a5ad5vodtranssh1500016869/bcac50145145403695187948646/v.f1435005.mp4"",""video"":{""bitrate"":2355064,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128077,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/bcac50145145403695187948646/v.f1435005.mp4""}],""bitrate"":4770914,""height"":864,""width"":1920,""size"":47026305,""audit_status"":2,""transcode_status"":3}"
16036,27492322638939,高bpm的劲爆吉他架子鼓！,推ap有些难，但反正给我自己打爽了,https://act-upload.miyoushe.com/event-ugc-mys/2025/09/24/236977243/c108f0785d2af5a9071d0e307caa33dc_1425299993446742677.jpeg,cn_gf01,90,870,Ronald,236977243,1,0,26,1758715700,984.74,4.11,"{""media_id"":""131970694990937194496"",""duration"":127126,""resolutions"":[{""bitrate"":455040,""height"":480,""width"":1030,""size"":7230929,""md5"":""6848228c25311519431862c45d3fee4a"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-24/a28a5ad5vodtranssh1500016869/c42a9fc95145403699985151630/v.f1435007.mp4"",""video"":{""bitrate"":321746,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128027,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/c42a9fc95145403699985151630/v.f1435007.mp4""},{""bitrate"":630101,""height"":720,""width"":1546,""size"":10012787,""md5"":""bdbe81ec48473167436c51daaab9f57f"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-24/a28a5ad5vodtranssh1500016869/c42a9fc95145403699985151630/v.f1435006.mp4"",""video"":{""bitrate"":496998,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128027,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/c42a9fc95145403699985151630/v.f1435006.mp4""},{""bitrate"":994663,""height"":1080,""width"":2318,""size"":15805956,""md5"":""d75039486bd0fc4401ea7f68d6152a60"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-24/a28a5ad5vodtranssh1500016869/c42a9fc95145403699985151630/v.f1435005.mp4"",""video"":{""bitrate"":861741,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128027,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/c42a9fc95145403699985151630/v.f1435005.mp4""}],""bitrate"":4838206,""height"":894,""width"":1920,""size"":76881525,""audit_status"":2,""transcode_status"":3}"
15962,170428792283217,经过（中）,,,cn_gf01,86,1157,霁晓,195010641,0,0,71,1758550484,2555.9,4.74,{}
1167,13198537201016,【4k拇指谱】芙宁娜-轻涟-7⭐,"制谱：Tbood

关键词：长条、骗手

-包含两个骗手和一个手持可打三押，请注意

-适合双指进阶或多指入门玩家体验",https://act-upload.miyoushe.com/event-ugc-mys/2025/01/03/102700408/98560fce6f149433211d7ee4ab12e84e_851326145487638573.jpg,cn_gf01,60,424,洛小遥>ω<,102700408,47,19,15387,1735883864,145091.51,4.34,"{""media_id"":""131875066289225056256"",""duration"":158307,""resolutions"":[{""bitrate"":519115,""height"":480,""width"":852,""size"":10272452,""md5"":""85444eb6f06e89dc6972eccc6dc679c4"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-20/a28a5ad5vodtranssh1500016869/85408dd01397757901844901754/v.f1435007.mp4"",""video"":{""bitrate"":384405,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128036,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/85408dd01397757901844901754/v.f1435007.mp4""},{""bitrate"":1119995,""height"":720,""width"":1280,""size"":22162883,""md5"":""879afd0699e51ec0c947a8d019833d85"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-20/a28a5ad5vodtranssh1500016869/85408dd01397757901844901754/v.f1435006.mp4"",""video"":{""bitrate"":985323,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128036,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/85408dd01397757901844901754/v.f1435006.mp4""},{""bitrate"":1806750,""height"":1080,""width"":1920,""size"":35752651,""md5"":""e8f43c80723ad45e7789b818eb4a07c3"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-20/a28a5ad5vodtranssh1500016869/85408dd01397757901844901754/v.f1435005.mp4"",""video"":{""bitrate"":1672052,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128036,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/85408dd01397757901844901754/v.f1435005.mp4""}],""bitrate"":11455928,""height"":720,""width"":1280,""size"":226684194,""audit_status"":2,""transcode_status"":3}"
15854,64875581008311,【春野晴】幽谷舟咏·其三 Ex.13,"[Noter：春野晴 aka 6QHTSK]
我的第45个千音雅集原神音游谱面！
音符数：541，物量：690，难度：13（官标8）。
测试一下人声曲不采人声在千音雅集中的表现。
总体谱面比较简单好打。
封面找不到特别EP的壁纸，遂视频中眼疾手快截了一帧。
如果喜欢我做的谱面，欢迎关注我。
如果谱面有什么问题或错误，敬请指出。",https://act-upload.miyoushe.com/event-ugc-mys/2025/09/20/100002231/53592d6e0a12742e3b54125afb87a15b_677751262435020769.JPG,cn_gf01,94,541,春野晴,100002231,4,2,143,1758214887,2848.59,4.91,"{""media_id"":""131969079454863863808"",""duration"":143357,""resolutions"":[{""bitrate"":519662,""height"":480,""width"":852,""size"":9312159,""md5"":""fe71d53a521f9902352845e53e2e51df"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-20/a28a5ad5vodtranssh1500016869/7b50fd8b5145403699366044935/v.f1435007.mp4"",""video"":{""bitrate"":385052,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128075,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/7b50fd8b5145403699366044935/v.f1435007.mp4""},{""bitrate"":1660563,""height"":720,""width"":1280,""size"":29756679,""md5"":""e1d62c32ef0bab4e53f32bc4015bcbad"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-20/a28a5ad5vodtranssh1500016869/7b50fd8b5145403699366044935/v.f1435006.mp4"",""video"":{""bitrate"":1525929,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128075,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/7b50fd8b5145403699366044935/v.f1435006.mp4""},{""bitrate"":2460074,""height"":1080,""width"":1920,""size"":44083605,""md5"":""079afc297704a7763866fe6603c74831"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-20/a28a5ad5vodtranssh1500016869/7b50fd8b5145403699366044935/v.f1435005.mp4"",""video"":{""bitrate"":2325527,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128075,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/7b50fd8b5145403699366044935/v.f1435005.mp4""}],""bitrate"":11158883,""height"":1080,""width"":1920,""size"":199930921,""audit_status"":2,""transcode_status"":3}"
15853,63776069380535,【春野晴/高难】骄阳炽燎 Ex.16,"[Noter：春野晴 aka 6QHTSK]
我的第44个千音雅集原神音游谱面！
音符数：858，物量：1049，难度：16（官标8）。
假8星，高难实验性谱面。
尝试了dump，大混采，反盾交互（应该是这个名字）等一些之前没怎么用过的键型。
写完之后发现有点打不动，先这么录着吧。
应该原神的曲子目前能写高难的基本写完了。
如果喜欢我做的谱面，欢迎关注我。
如果谱面有什么问题或错误，敬请指出。",https://act-upload.miyoushe.com/event-ugc-mys/2025/09/20/100002231/52b92c4cc4ce0f24df9756baa924fa0a_1081201820854164549.JPG,cn_gf01,90,858,春野晴,100002231,0,0,45,1758216329,1347.32,4.42,"{""media_id"":""131969077574850981888"",""duration"":131807,""resolutions"":[{""bitrate"":510353,""height"":480,""width"":852,""size"":8408521,""md5"":""9122a6aa59334046bd45e80b5db50b36"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-20/a28a5ad5vodtranssh1500016869/1a4ac6925145403699368295725/v.f1435007.mp4"",""video"":{""bitrate"":375723,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128075,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/1a4ac6925145403699368295725/v.f1435007.mp4""},{""bitrate"":1650625,""height"":720,""width"":1280,""size"":27195493,""md5"":""44fcdb253d8e015c59a9e7b0d3e294c8"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-20/a28a5ad5vodtranssh1500016869/1a4ac6925145403699368295725/v.f1435006.mp4"",""video"":{""bitrate"":1515968,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128075,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/1a4ac6925145403699368295725/v.f1435006.mp4""},{""bitrate"":2389599,""height"":1080,""width"":1920,""size"":39370749,""md5"":""78068f6b571000063bc2467faf5eb0b6"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-20/a28a5ad5vodtranssh1500016869/1a4ac6925145403699368295725/v.f1435005.mp4"",""video"":{""bitrate"":2255017,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128075,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/1a4ac6925145403699368295725/v.f1435005.mp4""}],""bitrate"":11884940,""height"":1080,""width"":1920,""size"":195780629,""audit_status"":2,""transcode_status"":3}"
15830,449704839336189,[Lv.14/双指] 幽谷舟咏·其三,"二周目“芙洛拉。-月-”谱集第九弹
定数：14.5
水（bushi）歌配水谱",https://act-upload.miyoushe.com/event-ugc-mys/2025/09/19/288608509/5352d2fde8d7f13abff05e1a024a64d1_4935186114944020472.jpg,cn_gf01,94,686,芙洛拉。-月-,288608509,2,0,13,1758211694,252.8,5,"{""media_id"":""131968719237751910400"",""duration"":145302,""resolutions"":[{""bitrate"":529752,""height"":480,""width"":1074,""size"":9621768,""md5"":""d0539be2528254374fa0eab826a4ccd9"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-19/a28a5ad5vodtranssh1500016869/428434c95145403699260478713/v.f1435007.mp4"",""video"":{""bitrate"":395230,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128048,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/428434c95145403699260478713/v.f1435007.mp4""},{""bitrate"":1806395,""height"":720,""width"":1612,""size"":32809111,""md5"":""5e5978db2d1dd237d570cc33767b664e"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-19/a28a5ad5vodtranssh1500016869/428434c95145403699260478713/v.f1435006.mp4"",""video"":{""bitrate"":1672155,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128048,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/428434c95145403699260478713/v.f1435006.mp4""},{""bitrate"":2512656,""height"":1080,""width"":2418,""size"":45636755,""md5"":""bab10895471fffbfe6a576582b4c1fdc"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-19/a28a5ad5vodtranssh1500016869/428434c95145403699260478713/v.f1435005.mp4"",""video"":{""bitrate"":2378673,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128048,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/428434c95145403699260478713/v.f1435005.mp4""}],""bitrate"":4134511,""height"":1612,""width"":720,""size"":75098082,""audit_status"":2,""transcode_status"":3}"
15823,49482432201241,斩破风暴的魔鲸 合作双指魔王自制谱面,"屏元ap视频来源：@芙洛拉。-月-
谱师：稻妻第一深情（A.K.A. 芙洛拉。&非酋咸鱼真君）
八星上位魔王，等你来挑战（",https://act-upload.miyoushe.com/event-ugc-mys/2025/09/18/113984025/d3f9779a8fa6390f10ff160ed6c2da76_1803103891918510726.jpg,cn_gf01,35,1042,非酋咸鱼真君,113984025,1,1,49,1758259877,1376.1,4.64,"{""media_id"":""131968637705264037888"",""duration"":178592,""resolutions"":[{""bitrate"":533139,""height"":480,""width"":1074,""size"":11901808,""md5"":""b957075aba7eabec0f3e81314632e55c"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-18/a28a5ad5vodtranssh1500016869/bdc2d6d95145403698611370113/v.f1435007.mp4"",""video"":{""bitrate"":398608,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128041,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/bdc2d6d95145403698611370113/v.f1435007.mp4""},{""bitrate"":1858590,""height"":720,""width"":1612,""size"":41491175,""md5"":""8fe78f6a047cda9e37dd22d17066583a"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-18/a28a5ad5vodtranssh1500016869/bdc2d6d95145403698611370113/v.f1435006.mp4"",""video"":{""bitrate"":1724178,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128041,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/bdc2d6d95145403698611370113/v.f1435006.mp4""},{""bitrate"":2574919,""height"":1080,""width"":2418,""size"":57482497,""md5"":""43d2ed6f1918f4dca91bddf7d21b13ae"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-18/a28a5ad5vodtranssh1500016869/bdc2d6d95145403698611370113/v.f1435005.mp4"",""video"":{""bitrate"":2440724,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128041,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/bdc2d6d95145403698611370113/v.f1435005.mp4""}],""bitrate"":4135344,""height"":1612,""width"":720,""size"":92312941,""audit_status"":2,""transcode_status"":3}"
15807,171528303910993,漫漫旅途之忆......,希望每个驻足于此的旅行者，寻得他片刻的安宁,https://act-upload.miyoushe.com/event-ugc-mys/2025/09/16/195010641/1a16c1632a66c1c7d12a563a957ef5b7_8529694472241330105.png,cn_gf01,87,283,霁晓,195010641,2,0,11,1758442487,153,5,"{""media_id"":""131967956362813243392"",""duration"":78978,""resolutions"":[{""bitrate"":525957,""height"":480,""width"":768,""size"":5192383,""md5"":""01f4dd414e28f1dc6c146f7e669a245d"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-16/a28a5ad5vodtranssh1500016869/609f8afc5145403699162123712/v.f1435007.mp4"",""video"":{""bitrate"":391375,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128092,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/609f8afc5145403699162123712/v.f1435007.mp4""},{""bitrate"":1375050,""height"":720,""width"":1152,""size"":13574843,""md5"":""a0c09c956211e81ef8f84c34292923dd"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-16/a28a5ad5vodtranssh1500016869/609f8afc5145403699162123712/v.f1435006.mp4"",""video"":{""bitrate"":1240654,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128092,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/609f8afc5145403699162123712/v.f1435006.mp4""},{""bitrate"":2343259,""height"":1080,""width"":1728,""size"":23133243,""md5"":""1db885f30b09d80c74c92a7c38cf694f"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-16/a28a5ad5vodtranssh1500016869/609f8afc5145403699162123712/v.f1435005.mp4"",""video"":{""bitrate"":2209093,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128092,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/609f8afc5145403699162123712/v.f1435005.mp4""}],""bitrate"":16911943,""height"":1440,""width"":2304,""size"":166802923,""audit_status"":2,""transcode_status"":3}"
15795,78069842029528,希格雯护士长给您干爽了！,"怎么美露莘也来打音游了？
而且还打的这么厉害？
难道是龙王亲传弟子（bushi

写了一张很有意思的谱面。
对于点面结合有了一点新的理解。",https://act-upload.miyoushe.com/event-ugc-mys/2025/09/16/221490136/2d08a20ec1a75818b15935db8e23f99c_1988722284131895179.png,cn_gf01,91,1036,帥皇K,221490136,1,0,80,1757951327,2075.87,4.77,"{""media_id"":""131967621668557029376"",""duration"":154024,""resolutions"":[{""bitrate"":529753,""height"":480,""width"":852,""size"":10199340,""md5"":""773fb3d550df92438c11788e7e38a753"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-16/a28a5ad5vodtranssh1500016869/861cf9ed5145403698926285803/v.f1435007.mp4"",""video"":{""bitrate"":395049,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128038,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/861cf9ed5145403698926285803/v.f1435007.mp4""},{""bitrate"":1716645,""height"":720,""width"":1280,""size"":33050580,""md5"":""1119e9a50536995661fd07e31eac5e89"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-16/a28a5ad5vodtranssh1500016869/861cf9ed5145403698926285803/v.f1435006.mp4"",""video"":{""bitrate"":1581967,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128038,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/861cf9ed5145403698926285803/v.f1435006.mp4""},{""bitrate"":2495437,""height"":1080,""width"":1920,""size"":48044663,""md5"":""62755e4e30ecc0a3722314495927f76d"",""format"":"".mp4"",""url"":""https://vod-static.miyoushe.com/3/2025-09-16/a28a5ad5vodtranssh1500016869/861cf9ed5145403698926285803/v.f1435005.mp4"",""video"":{""bitrate"":2360789,""codec"":""h264"",""fps"":25},""audio"":{""bitrate"":128038,""codec"":""aac"",""sampling_rate"":44100},""origin_url"":""http://1500016869.vod2.myqcloud.com/a28a5ad5vodtranssh1500016869/861cf9ed5145403698926285803/v.f1435005.mp4""}],""bitrate"":9891144,""height"":1080,""width"":1920,""size"":190404538,""audit_status"":2,""transcode_status"":3}"
